"Employer Name","CBA File","Location","Union","Expiration Date","NAICS*","#Wrkrs","Type"
"AGC, IN - SOUTHWEST",1685,"IN EVANSVILLE","LABORERS  (LIUNA) 561","Mar 31, 2006","23622","1100","PRIVATE"
"AGC, IN (BLDG, SEWER, WATER, UTILITY)",916,"IN","ENGINEERS, OPERATING, AFL-CIO (IUOE) 181 ","Mar 31, 2006","23731","2800","PRIVATE"
"AGC, IN (SOUTHERN BRANCH)",1952,"IN","PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) 692/PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) 821","Apr 30, 2017","238140","1730","PRIVATE"
"AGC, IN (SOUTHERN BRANCH)",1953,"IN","PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) 692/PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) 821","Apr 30, 2012","238140","1730","PRIVATE"
"AGC, MA",1149,"MA"," (LIUNA) -","May 31, 2008",,,"PRIVATE"
"AGC, MA (BUILDING & SITE)",1151,"MA","LABORERS  (LIUNA) 133/LABORERS  (LIUNA) 138/LABORERS  (LIUNA) 157/LABORERS  (LIUNA) 175/LABORERS  (LIUNA) 22/LABORERS  (LIUNA) 223/LABORERS  (LIUNA) 243/LABORERS  (LIUNA) 385/LABORERS  (LIUNA) 39/LABORERS  (LIUNA) 429/LABORERS  (LIUNA) 473/LABORERS  (LIUNA) 560/LABORERS  (LIUNA) 596/LABORERS  (LIUNA) 609/LABORERS  (LIUNA) 610 CONSTRUCTION/LABORERS  (LIUNA) 721/LABORERS  (LIUNA) 876/LABORERS  (LIUNA) 999","May 31, 2012","23922","5500","PRIVATE"
"AGC, MA & BTEA",1350,"MA BOSTON","IRON WORKERS AFL-CIO (BSOIW) 7","Sep 15, 2006","23622","1200","PRIVATE"
"AGC, MA & BTEA OF BOSTON & E. MA (BLDG & SITE)",1150,"MA BOSTON","LABORERS  (LIUNA) 0 MASSACHUSETTS","May 31, 2008","23622","5500","PRIVATE"
"AGC, MA & BTEA OF BOSTON & EASTER MA",1160,"MA EASTERN"," (UBC) VARIOUS LOCALS","Aug 31, 2015","236115","3600","PRIVATE"
"AGC, MA & BTEA OF BOSTON & EASTER MA",1269,"MA EASTERN","ENGINEERS, OPERATING, AFL-CIO (IUOE) 4","May 31, 2011","23622","3600","PRIVATE"
